,detailsPageUrl,carat,date,dateSet,price,strikethroughPrice,pricePerCarat,shapeName,clarity,color,culet,cut,depth,fluorescence,lxwRatio,polish,symmetry,table,measurements
LD13579469,./diamond-details/LD13579469,['1.30'],['Jul 24'],['Jul 27'],"['$4,369']",,"['$3,361']",['Cushion'],['VS2'],['I'],['None'],Good,['71.0'],['Faint'],['1.00'],['Excellent'],['Very Good'],['56.0'],6.05 x 6.03 x 4.28 mm
LD13866571,./diamond-details/LD13866571,['1.20'],['Jul 24'],['Jul 27'],"['$4,297']",,"['$3,581']",['Cushion'],['VS2'],['I'],['None'],Good,['70.1'],['Faint'],['1.03'],['Excellent'],['Excellent'],['63.0'],5.95 x 5.79 x 4.06 mm
LD13638210,./diamond-details/LD13638210,['1.20'],['Jun 19'],['Jun 22'],"['$3,889']",,"['$3,241']",['Cushion'],['VS2'],['I'],['None'],Good,['70.6'],['Faint'],['1.02'],['Very Good'],['Very Good'],['66.0'],5.74 x 5.64 x 3.98 mm
LD13909020,./diamond-details/LD13909020,['1.20'],['Jul 1'],['Jul 2'],"['$3,699']",,"['$3,082']",['Cushion'],['VS2'],['I'],['None'],Good,['72.0'],['None'],['1.07'],['Excellent'],['Very Good'],['59.0'],6.11 x 5.69 x 4.10 mm
LD13297962,./diamond-details/LD13297962,['1.11'],['Jul 24'],['Jul 27'],"['$3,491']",,"['$3,145']",['Cushion'],['VS2'],['I'],['None'],Good,['69.8'],['None'],['1.03'],['Excellent'],['Excellent'],['63.0'],5.90 x 5.75 x 4.02 mm
LD13549702,./diamond-details/LD13549702,['1.01'],['Jul 24'],['Jul 27'],"['$3,440']",,"['$3,406']",['Cushion'],['VS2'],['I'],['None'],Good,['69.6'],['None'],['1.09'],['Excellent'],['Excellent'],['59.0'],6.03 x 5.53 x 3.85 mm
LD13651009,./diamond-details/LD13651009,['1.01'],['Jul 24'],['Jul 27'],"['$3,377']",,"['$3,344']",['Cushion'],['VS2'],['I'],['None'],Good,['69.9'],['None'],['1.02'],['Excellent'],['Excellent'],['63.0'],5.73 x 5.64 x 3.94 mm
LD13285346,./diamond-details/LD13285346,['1.01'],['Jul 24'],['Jul 27'],"['$3,250']",,"['$3,218']",['Cushion'],['VS2'],['I'],['None'],Good,['69.7'],['None'],['1.00'],['Excellent'],['Excellent'],['63.0'],5.72 x 5.72 x 3.98 mm
LD06508393,./diamond-details/LD06508393,['1.03'],['Jun 24'],['Jun 25'],"['$3,119']",,"['$3,028']",['Cushion'],['VS2'],['I'],['None'],Good,['68.0'],['None'],['1.11'],['Excellent'],['Very Good'],['69.0'],6.08 x 5.49 x 3.73 mm
LD13735443,./diamond-details/LD13735443,['1.01'],['Jul 24'],['Jul 27'],"['$3,099']",,"['$3,068']",['Cushion'],['VS2'],['I'],['None'],Good,['71.6'],['None'],['1.13'],['Very Good'],['Very Good'],['58.0'],6.01 x 5.31 x 3.80 mm
LD13031672,./diamond-details/LD13031672,['1.07'],['Jul 24'],['Jul 27'],"['$3,049']",,"['$2,850']",['Cushion'],['VS2'],['I'],['None'],Good,['69.7'],['None'],['1.05'],['Excellent'],['Excellent'],['62.0'],5.90 x 5.62 x 3.92 mm
LD13748434,./diamond-details/LD13748434,['1.01'],['Jul 24'],['Jul 27'],"['$3,028']",,"['$2,998']",['Cushion'],['VS2'],['I'],['None'],Good,['72.9'],['None'],['1.13'],['Excellent'],['Very Good'],['60.0'],5.77 x 5.11 x 3.73 mm
LD13127230,./diamond-details/LD13127230,['0.90'],['Jun 24'],['Jun 25'],"['$2,881']",,"['$3,201']",['Cushion'],['VS2'],['I'],['None'],Good,['70.1'],['None'],['1.08'],['Excellent'],['Excellent'],['60.0'],5.59 x 5.20 x 3.64 mm
LD13877061,./diamond-details/LD13877061,['1.00'],['Jul 24'],['Jul 27'],"['$2,873']",,"['$2,873']",['Cushion'],['VS2'],['I'],['None'],Good,['72.5'],['None'],['1.00'],['Excellent'],['Very Good'],['58.0'],5.69 x 5.68 x 4.12 mm
LD13910729,./diamond-details/LD13910729,['0.90'],['Jul 7'],['Jul 8'],"['$2,825']",,"['$3,139']",['Cushion'],['VS2'],['I'],['None'],Good,['70.9'],['Faint'],['1.06'],['Excellent'],['Very Good'],['60.0'],5.59 x 5.25 x 3.72 mm
LD13717704,./diamond-details/LD13717704,['1.00'],['Jul 24'],['Jul 27'],"['$2,788']",,"['$2,788']",['Cushion'],['VS2'],['I'],['None'],Good,['71.6'],['None'],['1.07'],['Excellent'],['Excellent'],['60.0'],5.60 x 5.25 x 3.76 mm
LD12974782,./diamond-details/LD12974782,['1.01'],['Jul 24'],['Jul 27'],"['$2,733']",,"['$2,706']",['Cushion'],['VS2'],['I'],['None'],Good,['70.0'],['None'],['1.00'],['Excellent'],['Excellent'],['62.0'],5.64 x 5.63 x 3.94 mm
LD13919233,./diamond-details/LD13919233,['1.01'],['Jul 24'],['Jul 27'],"['$2,662']",,"['$2,636']",['Cushion'],['VS2'],['I'],['None'],Good,['70.4'],['None'],['1.01'],['Excellent'],['Excellent'],['63.0'],5.62 x 5.59 x 3.94 mm
LD13919172,./diamond-details/LD13919172,['1.00'],['Jul 24'],['Jul 27'],"['$2,619']",,"['$2,619']",['Cushion'],['VS2'],['I'],['None'],Good,['72.7'],['None'],['1.01'],['Excellent'],['Very Good'],['64.0'],5.41 x 5.38 x 3.91 mm
LD13919173,./diamond-details/LD13919173,['1.00'],['Jul 24'],['Jul 27'],"['$2,580']",,"['$2,580']",['Cushion'],['VS2'],['I'],['None'],Good,['70.2'],['None'],['1.03'],['Very Good'],['Excellent'],['60.0'],5.53 x 5.37 x 3.77 mm
LD09491352,./diamond-details/LD09491352,['1.00'],['Jul 10'],['Jul 13'],"['$2,470']",,"['$2,470']",['Cushion'],['VS2'],['I'],['None'],Good,['72.4'],['None'],['1.05'],['Excellent'],['Very Good'],['67.0'],5.56 x 5.28 x 3.82 mm
LD13762300,./diamond-details/LD13762300,['1.00'],['Jul 14'],['Jul 15'],"['$2,414']",,"['$2,414']",['Cushion'],['VS2'],['I'],['None'],Good,['68.9'],['None'],['1.00'],['Excellent'],['Very Good'],['69.0'],5.41 x 5.41 x 3.73 mm
LD13799391,./diamond-details/LD13799391,['0.90'],['Jul 24'],['Jul 27'],"['$1,906']",,"['$2,118']",['Cushion'],['VS2'],['I'],['None'],Good,['71.6'],['None'],['1.05'],['Excellent'],['Very Good'],['58.0'],5.44 x 5.16 x 3.70 mm
LD13918055,./diamond-details/LD13918055,['0.80'],['Jun 19'],['Jun 22'],"['$1,455']",,"['$1,819']",['Cushion'],['VS2'],['I'],['None'],Good,['71.0'],['None'],['1.08'],['Very Good'],['Very Good'],['65.0'],5.20 x 4.82 x 3.43 mm
LD12004147,./diamond-details/LD12004147,['10.01'],['Jun 19'],['Jun 22'],"['$263,638']",,"['$26,337']",['Cushion'],['VS1'],['I'],['None'],Good,['66.5'],['Faint'],['1.16'],['Excellent'],['Excellent'],['67.0'],13.80 x 11.93 x 7.94 mm
LD05563636,./diamond-details/LD05563636,['3.01'],['Jun 18'],['Jun 19'],"['$30,379']",,"['$10,093']",['Cushion'],['VS1'],['I'],['None'],Good,['69.8'],['None'],['1.03'],['Excellent'],['Very Good'],['59.0'],8.11 x 7.86 x 5.49 mm
LD11711616,./diamond-details/LD11711616,['3.50'],['Jun 19'],['Jun 22'],"['$30,023']",,"['$8,578']",['Cushion'],['VS1'],['I'],['None'],Good,['67.2'],['Strong'],['1.02'],['Very Good'],['Good'],['67.0'],8.53 x 8.35 x 5.61 mm
LD13254100,./diamond-details/LD13254100,['3.04'],['Jun 19'],['Jun 22'],"['$27,061']",,"['$8,902']",['Cushion'],['VS1'],['I'],['None'],Good,['69.7'],['Strong'],['1.08'],['Very Good'],['Very Good'],['66.0'],8.36 x 7.71 x 5.37 mm
LD13662505,./diamond-details/LD13662505,['2.61'],['Jul 24'],['Jul 27'],"['$21,955']",,"['$8,412']",['Cushion'],['VS1'],['I'],['None'],Good,['67.5'],['None'],['1.01'],['Excellent'],['Very Good'],['67.0'],7.96 x 7.92 x 5.35 mm
LD13637434,./diamond-details/LD13637434,['2.51'],['Jul 24'],['Jul 27'],"['$19,749']",,"['$7,868']",['Cushion'],['VS1'],['I'],['None'],Good,['67.6'],['None'],['1.05'],['Excellent'],['Excellent'],['67.0'],8.09 x 7.69 x 5.20 mm
LD13892486,./diamond-details/LD13892486,['2.50'],['Jul 24'],['Jul 27'],"['$18,135']",,"['$7,254']",['Cushion'],['VS1'],['I'],['None'],Good,['69.6'],['None'],['1.01'],['Excellent'],['Excellent'],['62.0'],7.41 x 7.33 x 5.10 mm
LD13348152,./diamond-details/LD13348152,['2.50'],['Jul 24'],['Jul 27'],"['$17,626']",,"['$7,050']",['Cushion'],['VS1'],['I'],['None'],Good,['67.4'],['Medium'],['1.14'],['Excellent'],['Excellent'],['68.0'],8.70 x 7.62 x 5.14 mm
LD13628874,./diamond-details/LD13628874,['1.81'],['Jun 18'],['Jun 19'],"['$10,349']",,"['$5,718']",['Cushion'],['VS1'],['I'],['None'],Good,['69.9'],['None'],['1.05'],['Excellent'],['Excellent'],['60.0'],7.07 x 6.72 x 4.70 mm
LD13543015,./diamond-details/LD13543015,['1.80'],['Jun 19'],['Jun 22'],"['$9,558']",,"['$5,310']",['Cushion'],['VS1'],['I'],['None'],Good,['67.9'],['None'],['1.05'],['Very Good'],['Very Good'],['67.0'],6.89 x 6.59 x 4.47 mm
LD13921128,./diamond-details/LD13921128,['1.70'],['Jul 24'],['Jul 27'],"['$8,834']",,"['$5,196']",['Cushion'],['VS1'],['I'],['None'],Good,['69.6'],['None'],['1.01'],['Excellent'],['Excellent'],['61.0'],6.60 x 6.54 x 4.55 mm
LD13508665,./diamond-details/LD13508665,['1.71'],['Jun 19'],['Jun 22'],"['$8,392']",,"['$4,908']",['Cushion'],['VS1'],['I'],['None'],Good,['69.8'],['None'],['1.06'],['Very Good'],['Good'],['68.0'],6.88 x 6.52 x 4.56 mm
LD13358612,./diamond-details/LD13358612,['1.51'],['Jul 24'],['Jul 27'],"['$7,412']",,"['$4,909']",['Cushion'],['VS1'],['I'],['None'],Good,['68.7'],['None'],['1.01'],['Excellent'],['Very Good'],['67.0'],6.62 x 6.53 x 4.49 mm
LD13627670,./diamond-details/LD13627670,['1.51'],['Jun 19'],['Jun 22'],"['$7,411']",,"['$4,908']",['Cushion'],['VS1'],['I'],['None'],Good,['69.7'],['None'],['1.14'],['Excellent'],['Excellent'],['62.0'],6.81 x 6.00 x 4.18 mm
LD13234683,./diamond-details/LD13234683,['1.40'],['Jul 24'],['Jul 27'],"['$7,099']",,"['$5,071']",['Cushion'],['VS1'],['I'],['None'],Good,['67.3'],['None'],['1.00'],['Excellent'],['Very Good'],['67.0'],6.59 x 6.57 x 4.42 mm
LD13812521,./diamond-details/LD13812521,['1.51'],['Jun 19'],['Jun 22'],"['$6,934']",,"['$4,592']",['Cushion'],['VS1'],['I'],['None'],Good,['68.6'],['None'],['1.01'],['Very Good'],['Very Good'],['68.0'],6.35 x 6.29 x 4.31 mm
LD13515890,./diamond-details/LD13515890,['1.51'],['Jun 18'],['Jun 19'],"['$6,648']",,"['$4,403']",['Cushion'],['VS1'],['I'],['None'],Good,['70.9'],['None'],['1.04'],['Excellent'],['Excellent'],['60.0'],6.65 x 6.38 x 4.52 mm
LD13915879,./diamond-details/LD13915879,['1.71'],['Jul 24'],['Jul 27'],"['$6,618']",,"['$3,870']",['Cushion'],['VS1'],['I'],['None'],Good,['73.5'],['Strong'],['1.07'],['Excellent'],['Excellent'],['57.0'],6.69 x 6.28 x 4.61 mm
LD04371205,./diamond-details/LD04371205,['1.31'],['Jun 18'],['Jun 19'],"['$6,419']",,"['$4,900']",['Cushion'],['VS1'],['I'],['None'],Good,['70.8'],['Medium'],['1.10'],['Excellent'],['Very Good'],['56.0'],6.46 x 5.89 x 4.17 mm
LD13047554,./diamond-details/LD13047554,['1.51'],['Jul 24'],['Jul 27'],"['$6,381']",,"['$4,226']",['Cushion'],['VS1'],['I'],['None'],Good,['72.7'],['None'],['1.01'],['Excellent'],['Very Good'],['60.0'],6.19 x 6.14 x 4.47 mm
LD13892385,./diamond-details/LD13892385,['1.50'],['Jul 24'],['Jul 27'],"['$6,239']",,"['$4,159']",['Cushion'],['VS1'],['I'],['None'],Good,['72.3'],['Faint'],['1.03'],['Excellent'],['Excellent'],['60.0'],6.30 x 6.13 x 4.44 mm
LD13277148,./diamond-details/LD13277148,['1.40'],['Jul 24'],['Jul 27'],"['$6,040']",,"['$4,314']",['Cushion'],['VS1'],['I'],['None'],Good,['69.7'],['Strong'],['1.08'],['Excellent'],['Very Good'],['68.0'],6.69 x 6.19 x 4.31 mm
LD10275033,./diamond-details/LD10275033,['1.30'],['Jun 18'],['Jun 19'],"['$5,703']",,"['$4,387']",['Cushion'],['VS1'],['I'],['None'],Good,['70.1'],['None'],['1.16'],['Excellent'],['Very Good'],['60.0'],6.88 x 5.91 x 4.14 mm
LD13915873,./diamond-details/LD13915873,['1.31'],['Jul 24'],['Jul 27'],"['$5,028']",,"['$3,838']",['Cushion'],['VS1'],['I'],['None'],Good,['69.6'],['None'],['1.01'],['Excellent'],['Excellent'],['61.0'],6.03 x 5.95 x 4.14 mm
LD10547247,./diamond-details/LD10547247,['1.09'],['Jun 30'],['Jul 1'],"['$4,994']",,"['$4,582']",['Cushion'],['VS1'],['I'],['None'],Good,['70.2'],['None'],['1.01'],['Excellent'],['Very Good'],['58.0'],5.88 x 5.85 x 4.11 mm
LD13335124,./diamond-details/LD13335124,['1.30'],['Jul 24'],['Jul 27'],"['$4,863']",,"['$3,741']",['Cushion'],['VS1'],['I'],['None'],Good,['69.8'],['None'],['1.06'],['Excellent'],['Excellent'],['61.0'],6.22 x 5.87 x 4.09 mm
LD13711909,./diamond-details/LD13711909,['1.20'],['Jul 24'],['Jul 27'],"['$4,807']",,"['$4,006']",['Cushion'],['VS1'],['I'],['None'],Good,['69.9'],['None'],['1.06'],['Excellent'],['Excellent'],['61.0'],6.21 x 5.86 x 4.10 mm
LD13656170,./diamond-details/LD13656170,['1.20'],['Jul 24'],['Jul 27'],"['$4,519']",,"['$3,766']",['Cushion'],['VS1'],['I'],['None'],Good,['71.0'],['None'],['1.07'],['Excellent'],['Very Good'],['58.0'],6.13 x 5.71 x 4.05 mm
LD13676273,./diamond-details/LD13676273,['1.20'],['Jul 24'],['Jul 27'],"['$4,492']",,"['$3,743']",['Cushion'],['VS1'],['I'],['None'],Good,['71.7'],['None'],['1.07'],['Excellent'],['Excellent'],['58.0'],6.11 x 5.72 x 4.10 mm
LD13636182,./diamond-details/LD13636182,['1.20'],['Jun 19'],['Jun 22'],"['$4,355']",,"['$3,629']",['Cushion'],['VS1'],['I'],['None'],Good,['69.9'],['None'],['1.06'],['Excellent'],['Very Good'],['63.0'],6.12 x 5.80 x 4.06 mm
LD13401130,./diamond-details/LD13401130,['1.20'],['Jun 19'],['Jun 22'],"['$4,205']",,"['$3,504']",['Cushion'],['VS1'],['I'],['None'],Good,['70.1'],['None'],['1.09'],['Very Good'],['Very Good'],['64.0'],6.10 x 5.61 x 3.93 mm
LD13676804,./diamond-details/LD13676804,['1.01'],['Jun 24'],['Jun 25'],"['$3,693']",,"['$3,656']",['Cushion'],['VS1'],['I'],['None'],Good,['69.6'],['Faint'],['1.08'],['Excellent'],['Very Good'],['60.0'],5.99 x 5.53 x 3.85 mm
LD13676226,./diamond-details/LD13676226,['1.01'],['Jul 24'],['Jul 27'],"['$3,670']",,"['$3,634']",['Cushion'],['VS1'],['I'],['None'],Good,['69.9'],['None'],['1.07'],['Excellent'],['Excellent'],['60.0'],5.77 x 5.38 x 3.76 mm
LD13735440,./diamond-details/LD13735440,['1.01'],['Jul 24'],['Jul 27'],"['$3,521']",,"['$3,486']",['Cushion'],['VS1'],['I'],['None'],Good,['69.6'],['None'],['1.00'],['Excellent'],['Excellent'],['61.0'],5.66 x 5.66 x 3.94 mm
LD11675870,./diamond-details/LD11675870,['1.01'],['Jun 15'],['Jun 15'],"['$3,410']",,"['$3,376']",['Cushion'],['VS1'],['I'],['None'],Good,['70.3'],['None'],['1.00'],['Excellent'],['Good'],['66.0'],5.60 x 5.60 x 3.93 mm
LD11675871,./diamond-details/LD11675871,['1.01'],['Jun 15'],['Jun 15'],"['$3,410']",,"['$3,376']",['Cushion'],['VS1'],['I'],['None'],Good,['71.5'],['None'],['1.05'],['Excellent'],['Very Good'],['64.0'],5.68 x 5.39 x 3.85 mm
LD13206515,./diamond-details/LD13206515,['1.01'],['Jul 24'],['Jul 27'],"['$3,190']",,"['$3,158']",['Cushion'],['VS1'],['I'],['None'],Good,['69.6'],['Faint'],['1.06'],['Excellent'],['Very Good'],['61.0'],5.86 x 5.53 x 3.85 mm
LD13571869,./diamond-details/LD13571869,['1.00'],['Jul 24'],['Jul 27'],"['$3,186']",,"['$3,186']",['Cushion'],['VS1'],['I'],['None'],Good,['71.0'],['None'],['1.07'],['Excellent'],['Very Good'],['62.0'],6.06 x 5.67 x 4.03 mm
LD13181756,./diamond-details/LD13181756,['1.01'],['Jul 24'],['Jul 27'],"['$3,032']",,"['$3,002']",['Cushion'],['VS1'],['I'],['None'],Good,['72.7'],['None'],['1.08'],['Excellent'],['Very Good'],['60.0'],6.09 x 5.65 x 4.11 mm
LD12863461,./diamond-details/LD12863461,['1.00'],['Jul 7'],['Jul 8'],"['$2,939']",,"['$2,939']",['Cushion'],['VS1'],['I'],['Medium'],Good,['72.2'],['None'],['1.06'],['Excellent'],['Good'],['69.0'],5.78 x 5.44 x 3.93 mm
LD13180383,./diamond-details/LD13180383,['1.01'],['Jul 24'],['Jul 27'],"['$2,886']",,"['$2,857']",['Cushion'],['VS1'],['I'],['None'],Good,['70.6'],['None'],['1.09'],['Excellent'],['Very Good'],['61.0'],5.74 x 5.28 x 3.73 mm
LD10883214,./diamond-details/LD10883214,['1.01'],['Jun 19'],['Jun 22'],"['$2,778']",,"['$2,750']",['Cushion'],['VS1'],['I'],['None'],Good,['70.0'],['None'],['1.13'],['Very Good'],['Very Good'],['62.0'],6.04 x 5.36 x 3.75 mm
LD13871540,./diamond-details/LD13871540,['0.80'],['Jul 24'],['Jul 27'],"['$1,595']",,"['$1,994']",['Cushion'],['VS1'],['I'],['None'],Good,['69.9'],['Strong'],['1.03'],['Excellent'],['Very Good'],['66.0'],5.30 x 5.14 x 3.59 mm
LD13892339,./diamond-details/LD13892339,['0.71'],['Jul 24'],['Jul 27'],"['$1,243']",,"['$1,751']",['Cushion'],['VS1'],['I'],['None'],Good,['72.1'],['None'],['1.02'],['Excellent'],['Excellent'],['58.0'],4.93 x 4.83 x 3.48 mm
LD13244907,./diamond-details/LD13244907,['0.55'],['Jun 24'],['Jun 25'],['$828'],,"['$1,505']",['Cushion'],['VS1'],['I'],['None'],Good,['73.4'],['Medium Blue'],['1.08'],['Excellent'],['Very Good'],['62.0'],4.75 x 4.41 x 3.24 mm
LD13346679,./diamond-details/LD13346679,['3.51'],['Jun 24'],['Jun 25'],"['$42,346']",,"['$12,064']",['Cushion'],['VVS2'],['I'],['None'],Good,['67.4'],['Faint'],['1.09'],['Excellent'],['Good'],['67.0'],8.96 x 8.20 x 5.53 mm
LD13649758,./diamond-details/LD13649758,['2.30'],['Jul 24'],['Jul 27'],"['$17,194']",,"['$7,476']",['Cushion'],['VVS2'],['I'],['None'],Good,['68.7'],['None'],['1.09'],['Excellent'],['Very Good'],['68.0'],8.00 x 7.31 x 5.02 mm
LD13296400,./diamond-details/LD13296400,['2.02'],['Jun 19'],['Jun 22'],"['$11,493']",,"['$5,690']",['Cushion'],['VVS2'],['I'],['None'],Good,['68.6'],['None'],['1.06'],['Very Good'],['Very Good'],['69.0'],7.19 x 6.78 x 4.65 mm
LD13329040,./diamond-details/LD13329040,['1.81'],['Jul 24'],['Jul 27'],"['$9,458']",,"['$5,225']",['Cushion'],['VVS2'],['I'],['None'],Good,['69.7'],['None'],['1.10'],['Excellent'],['Excellent'],['61.0'],7.11 x 6.44 x 4.49 mm
LD13860713,./diamond-details/LD13860713,['1.50'],['Jul 24'],['Jul 27'],"['$7,303']",,"['$4,869']",['Cushion'],['VVS2'],['I'],['None'],Good,['70.1'],['None'],['1.02'],['Excellent'],['Excellent'],['62.0'],6.29 x 6.15 x 4.31 mm
LD13729800,./diamond-details/LD13729800,['1.40'],['Jul 24'],['Jul 27'],"['$6,610']",,"['$4,721']",['Cushion'],['VVS2'],['I'],['None'],Good,['69.9'],['None'],['1.11'],['Excellent'],['Excellent'],['66.0'],6.68 x 6.04 x 4.22 mm
LD13380489,./diamond-details/LD13380489,['1.50'],['Jul 24'],['Jul 27'],"['$6,379']",,"['$4,253']",['Cushion'],['VVS2'],['I'],['None'],Good,['70.8'],['None'],['1.11'],['Excellent'],['Very Good'],['60.0'],6.66 x 5.98 x 4.24 mm
LD13311202,./diamond-details/LD13311202,['1.51'],['Jul 24'],['Jul 27'],"['$6,327']",,"['$4,190']",['Cushion'],['VVS2'],['I'],['None'],Good,['72.5'],['None'],['1.09'],['Excellent'],['Excellent'],['61.0'],6.70 x 6.14 x 4.45 mm
LD13638164,./diamond-details/LD13638164,['1.30'],['Jun 19'],['Jun 22'],"['$4,663']",,"['$3,587']",['Cushion'],['VVS2'],['I'],['None'],Good,['70.0'],['None'],['1.06'],['Very Good'],['Very Good'],['67.0'],6.13 x 5.79 x 4.05 mm
LD12851814,./diamond-details/LD12851814,['1.21'],['Jun 19'],['Jun 22'],"['$4,650']",,"['$3,843']",['Cushion'],['VVS2'],['I'],['None'],Good,['69.7'],['None'],['1.03'],['Excellent'],['Excellent'],['61.0'],5.96 x 5.77 x 4.02 mm
LD13339306,./diamond-details/LD13339306,['1.23'],['Jun 19'],['Jun 22'],"['$4,569']",,"['$3,715']",['Cushion'],['VVS2'],['I'],['None'],Good,['67.9'],['None'],['1.09'],['Very Good'],['Very Good'],['69.0'],6.25 x 5.72 x 3.88 mm
LD13401136,./diamond-details/LD13401136,['1.22'],['Jun 19'],['Jun 22'],"['$4,362']",,"['$3,575']",['Cushion'],['VVS2'],['I'],['None'],Good,['69.5'],['None'],['1.08'],['Excellent'],['Very Good'],['68.0'],6.10 x 5.63 x 3.92 mm
LD13637378,./diamond-details/LD13637378,['1.20'],['Jul 24'],['Jul 27'],"['$4,219']",,"['$3,516']",['Cushion'],['VVS2'],['I'],['None'],Good,['69.9'],['None'],['1.07'],['Excellent'],['Excellent'],['59.0'],6.08 x 5.70 x 3.98 mm
LD13697920,./diamond-details/LD13697920,['1.20'],['Jul 24'],['Jul 27'],"['$4,214']",,"['$3,512']",['Cushion'],['VVS2'],['I'],['None'],Good,['70.9'],['Strong'],['1.09'],['Excellent'],['Very Good'],['57.0'],6.22 x 5.72 x 4.06 mm
LD13414581,./diamond-details/LD13414581,['1.20'],['Jul 24'],['Jul 27'],"['$3,885']",,"['$3,238']",['Cushion'],['VVS2'],['I'],['None'],Good,['69.9'],['None'],['1.15'],['Excellent'],['Very Good'],['60.0'],6.38 x 5.56 x 3.88 mm
LD13676801,./diamond-details/LD13676801,['1.01'],['Jun 24'],['Jun 25'],"['$3,732']",,"['$3,695']",['Cushion'],['VVS2'],['I'],['None'],Good,['69.8'],['None'],['1.10'],['Excellent'],['Excellent'],['60.0'],5.99 x 5.44 x 3.80 mm
LD13676803,./diamond-details/LD13676803,['1.01'],['Jun 24'],['Jun 25'],"['$3,732']",,"['$3,695']",['Cushion'],['VVS2'],['I'],['None'],Good,['69.8'],['None'],['1.09'],['Excellent'],['Excellent'],['60.0'],6.02 x 5.52 x 3.85 mm
LD13735438,./diamond-details/LD13735438,['1.01'],['Jul 24'],['Jul 27'],"['$3,527']",,"['$3,492']",['Cushion'],['VVS2'],['I'],['None'],Good,['69.6'],['Faint'],['1.02'],['Excellent'],['Excellent'],['60.0'],5.74 x 5.65 x 3.93 mm
LD13749810,./diamond-details/LD13749810,['1.00'],['Jul 24'],['Jul 27'],"['$3,271']",,"['$3,271']",['Cushion'],['VVS2'],['I'],['None'],Good,['72.9'],['None'],['1.06'],['Excellent'],['Very Good'],['57.0'],5.58 x 5.28 x 3.85 mm
LD13735436,./diamond-details/LD13735436,['1.00'],['Jul 24'],['Jul 27'],"['$3,215']",,"['$3,215']",['Cushion'],['VVS2'],['I'],['None'],Good,['72.2'],['None'],['1.09'],['Excellent'],['Good'],['65.0'],5.88 x 5.39 x 3.89 mm
LD13137209,./diamond-details/LD13137209,['1.01'],['Jul 24'],['Jul 27'],"['$3,123']",,"['$3,092']",['Cushion'],['VVS2'],['I'],['None'],Good,['69.9'],['None'],['1.09'],['Excellent'],['Very Good'],['61.0'],6.14 x 5.62 x 3.93 mm
LD13361300,./diamond-details/LD13361300,['1.02'],['Jul 24'],['Jul 27'],"['$3,025']",,"['$2,966']",['Cushion'],['VVS2'],['I'],['None'],Good,['70.5'],['None'],['1.00'],['Excellent'],['Very Good'],['62.0'],5.48 x 5.47 x 3.86 mm
LD13919802,./diamond-details/LD13919802,['1.01'],['Jun 30'],['Jul 1'],"['$3,022']",,"['$2,992']",['Cushion'],['VVS2'],['I'],['None'],Good,['69.7'],['None'],['1.28'],['Excellent'],['Very Good'],['61.0'],6.40 x 5.01 x 3.49 mm
LD13913337,./diamond-details/LD13913337,['1.00'],['Jul 24'],['Jul 27'],"['$2,849']",,"['$2,849']",['Cushion'],['VVS2'],['I'],['None'],Good,['71.0'],['None'],['1.06'],['Excellent'],['Very Good'],['57.0'],5.64 x 5.33 x 3.79 mm
LD13384127,./diamond-details/LD13384127,['1.02'],['Jul 24'],['Jul 27'],"['$2,833']",,"['$2,777']",['Cushion'],['VVS2'],['I'],['None'],Good,['72.3'],['Faint'],['1.16'],['Excellent'],['Excellent'],['61.0'],6.07 x 5.23 x 3.78 mm
LD08650613,./diamond-details/LD08650613,['1.00'],['Jul 10'],['Jul 13'],"['$2,756']",,"['$2,756']",['Cushion'],['VVS2'],['I'],['None'],Good,['71.4'],['None'],['1.09'],['Excellent'],['Very Good'],['60.0'],5.95 x 5.48 x 3.91 mm
LD13361184,./diamond-details/LD13361184,['0.90'],['Jul 24'],['Jul 27'],"['$2,019']",,"['$2,243']",['Cushion'],['VVS2'],['I'],['None'],Good,['72.1'],['None'],['1.03'],['Excellent'],['Very Good'],['61.0'],5.29 x 5.16 x 3.72 mm
LD12841293,./diamond-details/LD12841293,['0.90'],['Jul 24'],['Jul 27'],"['$1,828']",,"['$2,031']",['Cushion'],['VVS2'],['I'],['None'],Good,['72.4'],['None'],['1.19'],['Excellent'],['Very Good'],['58.0'],5.85 x 4.92 x 3.56 mm
LD13756390,./diamond-details/LD13756390,['0.71'],['Jul 24'],['Jul 27'],"['$1,547']",,"['$2,179']",['Cushion'],['VVS2'],['I'],['None'],Good,['71.3'],['None'],['1.09'],['Excellent'],['Very Good'],['60.0'],5.19 x 4.75 x 3.38 mm
LD07275156,./diamond-details/LD07275156,['0.52'],['Jun 26'],['Jun 29'],"['$1,107']",,"['$2,129']",['Cushion'],['VVS2'],['I'],['None'],Good,['71.7'],['None'],['1.00'],['Excellent'],['Very Good'],['58.0'],4.74 x 4.73 x 3.39 mm
LD13171398,./diamond-details/LD13171398,['0.60'],['Jun 24'],['Jun 25'],['$884'],,"['$1,473']",['Cushion'],['VVS2'],['I'],['None'],Good,['69.8'],['Faint'],['1.06'],['Excellent'],['Very Good'],['64.0'],4.76 x 4.51 x 3.15 mm
LD13823417,./diamond-details/LD13823417,['0.53'],['Jun 24'],['Jun 25'],['$706'],,"['$1,332']",['Cushion'],['VVS2'],['I'],['None'],Good,['67.8'],['None'],['1.07'],['Excellent'],['Very Good'],['67.0'],4.68 x 4.39 x 2.98 mm
